id	key	piikey	name	type	match	rule	minlen	maxlen	priority	validator	fieldrule	fieldrulematch	imprecise
sha256hash	sha256hash		SHA-256 hash	data	ppr	Word(hexnums, exact=64)	64	64	1				False
sha1hash	sha1hash		SHA-1 hash	data	ppr	Word(hexnums, exact=40)	40	40	1				False
md5hash	md5hash		MD5 hash	data	ppr	Word(hexnums, exact=32)	32	32	1				False
uuid	uuid		Universally unique identifier (UUID)	data	ppr	Word(hexnums, exact=8) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=12)	36	36	1				False
guid	guid		Globally unique identifier (GUID)	data	ppr	Literal('{').suppress() + Word(hexnums, exact=8) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=4) + Literal('-').suppress() + Word(hexnums, exact=12) + Literal('}').suppress()	38	38	1				False
passportbypat	ruintpassport	passport	Russian passport by pattern	data	ppr	((Word(nums, exact=2) + Literal(' ').suppress() + Word(nums, exact=2)) | Word(nums,exact=4)) + Literal(' ').suppress() + Word(nums, exact=6)	3	100					False
rusnils	rusnils	rusnils	Russian SNILS person social insurance ID	data	ppr	Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=3) + Word(nums, exact=2)	17	17	1				False
booleancommon	boolean		Boolean value by known	data	text	true,false	4	5					False
booleanyesno	boolean		Boolean value yes/no	data	text	yes,no	2	3					False
url	url		Web URL	data	func	metacrafterext.rules.common.common._validate_url	5	1024	1				False
email	email	phone	Email	data	func	metacrafterext.rules.common.common._validate_email	3	1024	1				False
filenamebyvalue	filename		Name of the file	data	func	metacrafterext.rules.common.common._validate_filename	5	512	1				False
filenamebyknown	filename		Name of the file by known name	data	text	filename,file_name	8	9	1				False
phone	phone	phone	Phone number	data	func	metacrafterext.rules.common.common._validate_phone	3	100	1				False
mimetypebyvalue	mimetype		Mimetype / content type by value	data	text	application/pdf,application/json,application/octet-stream,application/vnd.ms-excel,application/vnd.openxmlformats-officedocument.wordprocessingml.document,image/jpeg,image/tiff,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,application/zip,text/csv,text/plain,application/vnd.google-earth.kml+xml,application/x-zip-compressed,application/vnd.geo+json,application/vnd.ms-excel.sheet.macroenabled.12,application/vnd.openxmlformats-officedocument.presentationml.presentation,text/xml	8	73	1				False
yearbydatafiltered	year		Modern years in range 1001-2199 by data and fieldname	data	ppr	(Literal('1') + Word(nums, exact=3)) ^ (Literal('2') + Word('01', exact=1) + Word(nums, exact=2))	4	4			Optional(Word(printables)) + Literal('year') + Optional(Word(printables))	ppr	False
timebypat	time		Time by pattern (10:00)	data	ppr	Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1)	3	100		metacrafterext.rules.common.dateandtime.is_valid_time			False
timebypatmin	time		Time by pattern (10:00:00)	data	ppr	Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1) + Word("012345", exact=1) + Word(nums, exact=1)	3	100		metacrafterext.rules.common.dateandtime.is_valid_time			False
timerangebypat	timerange		Time range by pattern (10:00-15:00)	data	ppr	Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1) + Literal("-") + Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1)	3	100		metacrafterext.rules.common.dateandtime.is_valid_timerange			False
yearbydataimprecise	year		Modern years in range 1001-2199 by data	data	ppr	(Literal('1') + Word(nums, exact=3)) ^ (Literal('2') + Word('01', exact=1) + Word(nums, exact=2))	4	4					True
latitudevalue	latitude		Latitude by data pattern and name	data	ppr	((Word('012345678', exact=1) + Word(nums, exact=1)) ^ (Literal("9") + Word(nums, exact=1))) + Literal('.') + Word(nums, min=1, max=10)	4	13			Optional(Word(printables)) + Optional('_') + "lat"	ppr	False
longitudevalue	longitude		Longitude by data pattern and name	data	ppr	((Literal("1") + Word("012345678") + Word(nums, exact=1)) ^ (Word(nums, exact=2))) + Literal(".") + Word(nums, min=1, max=10)	4	13			Optional(Word(printables)) + Optional('_') + (Literal("lon") ^ Literal("lng"))	ppr	False
iso3166-alpha2	countrycode_alpha2		ISO 3166 country code alpha 2	data	text	aw,af,ao,al,ad,an,1a,ae,ar,am,as,ag,au,at,az,bi,be,bj,bf,bd,bg,bh,bs,ba,by,bz,bm,bo,br,bb,bn,bt,bw,cf,ca,ch,jg,cl,cn,ci,cm,cd,cg,co,km,cv,cr,cu,ky,cy,cz,de,dj,dm,dk,do,dz,4e,z4,7e,z7,ec,eg,xc,er,es,ee,et,eu,fi,fj,fr,fo,fm,ga,gb,ge,gh,gi,gn,gm,gw,gq,gr,gd,gl,gt,gu,gy,xd,hk,hn,xe,hr,ht,hu,id,im,in,ie,ir,iq,is,il,it,jm,jo,jp,kz,ke,kg,kh,ki,kn,kr,kv,kw,xj,la,lb,lr,ly,lc,zj,xl,xm,li,lk,xn,xo,ls,lt,lu,lv,mo,ma,mc,md,mg,mv,zq,mx,mh,xp,mk,ml,mt,mm,xq,me,mn,mp,mz,mr,mu,mw,my,yt,xu,na,nc,ne,ng,ni,nl,xr,no,np,nz,xs,oe,om,pk,pa,pe,ph,pw,pg,pl,pr,kp,pt,py,ps,pf,qa,ro,ru,rw,8s,sa,sd,sn,sg,sb,sl,sv,sm,so,rs,zf,zg,st,sr,sk,si,se,sz,sc,sy,tc,td,tg,th,tj,tm,tl,to,tt,tn,tr,tv,tz,ug,ua,xt,uy,us,uz,vc,ve,vi,vn,vu,1w,ws,ye,za,zm,zw,tw,va	2	2	1		Optional(Word(printables)) + CaselessLiteral('country') + Optional(Word(printables))	ppr	False
iso3166-alpha3	countrycode_alpha3		ISO 3166 country code alpha 3	data	text	abw,afg,ago,alb,and,ant,arb,are,arg,arm,asm,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bwa,caf,can,che,chi,chl,chn,civ,cmr,cod,cog,col,com,cpv,cri,cub,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,eap,eas,eca,ecs,ecu,egy,emu,eri,esp,est,eth,euu,fin,fji,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hic,hkg,hnd,hpc,hrv,hti,hun,idn,imn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,ksv,kwt,lac,lao,lbn,lbr,lby,lca,lcn,ldc,lic,lie,lka,lmc,lmy,lso,ltu,lux,lva,mac,mar,mco,mda,mdg,mdv,mea,mex,mhl,mic,mkd,mli,mlt,mmr,mna,mne,mng,mnp,moz,mrt,mus,mwi,mys,myt,nac,nam,ncl,ner,nga,nic,nld,noc,nor,npl,nzl,oec,oed,omn,pak,pan,per,phl,plw,png,pol,pri,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sas,sau,sdn,sen,sgp,slb,sle,slv,smr,som,srb,ssa,ssf,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umc,ury,usa,uzb,vct,ven,vir,vnm,vut,wld,wsm,yem,zaf,zmb,zwe,	0	3	1		Optional(Word(printables)) + CaselessLiteral('country') + Optional(Word(printables))	ppr	False
iso3166-alpha2imprecise	countrycode_alpha2		ISO 3166 country code alpha 2	data	text	aw,af,ao,al,ad,an,1a,ae,ar,am,as,ag,au,at,az,bi,be,bj,bf,bd,bg,bh,bs,ba,by,bz,bm,bo,br,bb,bn,bt,bw,cf,ca,ch,jg,cl,cn,ci,cm,cd,cg,co,km,cv,cr,cu,ky,cy,cz,de,dj,dm,dk,do,dz,4e,z4,7e,z7,ec,eg,xc,er,es,ee,et,eu,fi,fj,fr,fo,fm,ga,gb,ge,gh,gi,gn,gm,gw,gq,gr,gd,gl,gt,gu,gy,xd,hk,hn,xe,hr,ht,hu,id,im,in,ie,ir,iq,is,il,it,jm,jo,jp,kz,ke,kg,kh,ki,kn,kr,kv,kw,xj,la,lb,lr,ly,lc,zj,xl,xm,li,lk,xn,xo,ls,lt,lu,lv,mo,ma,mc,md,mg,mv,zq,mx,mh,xp,mk,ml,mt,mm,xq,me,mn,mp,mz,mr,mu,mw,my,yt,xu,na,nc,ne,ng,ni,nl,xr,no,np,nz,xs,oe,om,pk,pa,pe,ph,pw,pg,pl,pr,kp,pt,py,ps,pf,qa,ro,ru,rw,8s,sa,sd,sn,sg,sb,sl,sv,sm,so,rs,zf,zg,st,sr,sk,si,se,sz,sc,sy,tc,td,tg,th,tj,tm,tl,to,tt,tn,tr,tv,tz,ug,ua,xt,uy,us,uz,vc,ve,vi,vn,vu,1w,ws,ye,za,zm,zw,tw,va	2	2	1				True
iso3166-alpha3imprecise	countrycode_alpha3		ISO 3166 country code alpha 3	data	text	abw,afg,ago,alb,and,ant,arb,are,arg,arm,asm,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bwa,caf,can,che,chi,chl,chn,civ,cmr,cod,cog,col,com,cpv,cri,cub,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,eap,eas,eca,ecs,ecu,egy,emu,eri,esp,est,eth,euu,fin,fji,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hic,hkg,hnd,hpc,hrv,hti,hun,idn,imn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,ksv,kwt,lac,lao,lbn,lbr,lby,lca,lcn,ldc,lic,lie,lka,lmc,lmy,lso,ltu,lux,lva,mac,mar,mco,mda,mdg,mdv,mea,mex,mhl,mic,mkd,mli,mlt,mmr,mna,mne,mng,mnp,moz,mrt,mus,mwi,mys,myt,nac,nam,ncl,ner,nga,nic,nld,noc,nor,npl,nzl,oec,oed,omn,pak,pan,per,phl,plw,png,pol,pri,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sas,sau,sdn,sen,sgp,slb,sle,slv,smr,som,srb,ssa,ssf,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umc,ury,usa,uzb,vct,ven,vir,vnm,vut,wld,wsm,yem,zaf,zmb,zwe,	0	3	1				True
languagetag	languagetag		IETF language tags (RFC 5646)	data	text	en-gb,ru,	0	5					False
ipv4	ipv4	ipv4	IPv4 address	data	ppr	Word(nums, min=1, max=3) + 3*('.'+Word(nums, min=1, max=4))	7	15	1	metacrafterext.rules.common.internet.validate_ipv4			False
ipv6	ipv6	ipv6	IPv6 address	data	ppr	((Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 7 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 6) + Literal('::')) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 5) + Literal('::') + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 4) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 3) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 2 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 2) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 3 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 1) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 4 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 5 + Word('0123456789abcdefABCDEF', min = 1, max = 4))	15	39	1	metacrafterext.rules.common.internet.validate_ipv6			False
eui48	eui48	eui48	MAC address (EUI48)	data	ppr	Word(hexnums, min=2, max=2) + 5*(':'+Word(hexnums, min=2, max=2))	17	17	1	metacrafterext.rules.common.internet.validate_macaddr			False
isbn13	isbn13		International Standard Book Number (ISBN)	data	ppr	Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=1) + Literal('-').suppress() + Word(nums, exact=2) + Literal('-').suppress() + Word(nums, exact=6) + Literal('-').suppress() + Word(nums, exact=1)	17	17	1	metacrafterext.rules.common.objects.valid_isbn13			False
isbn10	isbn10		International Standard Book Number (ISBN)	data	ppr	Word(nums, exact=1) + Literal('-').suppress() + Word(nums, exact=2) + Literal('-').suppress() + Word(nums, exact=6) + Literal('-').suppress() + Word(nums, exact=1)	13	13	1	metacrafterext.rules.common.objects.valid_isbn10			False
doibydata	doi		DOI unique ID of publication	data	ppr	Literal("10.") + Word(nums,exact=4) + Literal("/") + Word(printables)	3	100					False
vehiclenumberbyfieldname	vehiclenumber		Vehicle number by known fieldnames	data	text	vehiclenumber,vehicle number,vehicle_number	13	14					False
endayofweek	endayofweek		English day of week	data	text	monday,tuesday,wednesday,thursday,friday,saturday,sunday	6	9					False
enmonth	enmonth		English month	data	text	january,february,march,april,may,june,jule,august,september,october,november,december	3	9					False
enmonthshort	enmonthshort		English month shortened	data	text	jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec	3	3					False
encompanynamebypostfix	encompanyname		UK name of the company	data	func	metacrafterext.rules.en.orgs.is_uk_orgname	10	120	1				False
ruokeiname	okeiname		Russian OKEI code by value	data	text	единицы длины,миллиметр,сантиметр,дециметр,метр,километр^тысяча метров,мегаметр^миллион метров,морская миля (1852 м),единицы площади,квадратный миллиметр,квадратный сантиметр,квадратный дециметр,квадратный метр,тысяча квадратных метров,гектар,квадратный километр,ар (100 м2),единицы объема,кубический миллиметр,кубический сантиметр^миллилитр,литр^кубический дециметр,кубический метр,децилитр,гектолитр,мегалитр,миллион кубических метров,единицы массы,гектограмм,миллиграмм,грамм,микрограмм,килограмм,тонна^метрическая тонна (1000 кг),килотонна,сантиграмм,технические единицы,ватт,киловатт,мегаватт^тысяча киловатт,вольт,киловольт,киловольт-ампер,киловар,ватт-час,киловатт-час,ампер,тысяча ампер-часов,кулон,джоуль,килоджоуль,ом,градус цельсия,градус фаренгейта,кандела,люкс,люмен,кельвин,ньютон,герц,килогерц,мегагерц,паскаль,сименс,килопаскаль,мегапаскаль,гигабеккерель,килобеккерель,милликюри,кюри,грамм делящихся изотопов,мегабеккерель,миллибар,бар,гектобар,килобар,фарад,киллограмм на кубический метр,зиверт,микрозиверт,моль,миллизиверт,беккерель,вебер,узел (миля/ч),метр в секунду,оборот в секунду,оборот в минуту,километр в час,метр на секунду в квадрате,кулон на килограмм,единицы времени,секунда,минута,час,сутки,неделя,декада,месяц,квартал,полугодие,год,десятилетие,экономические единицы,килограмм в секунду,тонна пара в час,кубический метр в секунду,кубический метр в час,тысяча кубических метров в сутки,бобина,лист,сто листов,тысяча стандартных условных кирпичей,дюжина (12 шт.),изделие,сто ящиков,набор,пара (2 шт.),два десятка,десять пар,дюжина пар,посылка,часть,рулон,дюжина рулонов,дюжина штук,элемент,упаковка,дюжина упаковок,сто упаковок,штука,сто штук,тысяча штук,миллион штук,миллиард штук,биллион штук (европа)^триллион штук,квинтильон штук (европа),крепость спирта по массе,крепость спирта по объему,литр чистого (100 %) спирта,гектолитр чистого (100 %) спирта,килограмм пероксида водорода,килограмм 90 %-го сухого вещества,тонна 90 %-го сухого вещества,килограмм оксида калия,килограмм гидроксида калия,килограмм азота,килограмм гидроксида натрия,килограмм пятиокиси фосфора,килограмм урана,погонный метр,тысяча погонных метров,условный метр,тысяча условных метров,километр условных труб,тысяча квадратных дециметров,миллион квадратных дециметров,миллион квадратных метров,тысяча гектаров,условный квадратный метр,тысяча условных квадратных метров,миллион условных квадратных метров,квадратный метр общей площади,тысяча квадратных метров общей площади,миллион квадратных метров общей площади,квадратный метр жилой площади,тысяча квадратных метров жилой площади,миллион квадратных метров жилой площади,квадратный метр учебно-лабораторных зданий,тысяча квадратных метров учебно-лабораторных зданий,миллион квадратных метров в двухмиллиметровом исчислении,тысяча кубических метров,миллиард кубических метров,декалитр,тысяча декалитров,миллион декалитров,плотный кубический метр,условный кубический метр,тысяча условных кубических метров,миллион кубических метров переработки газа,тысяча плотных кубических метров,тысяча полулитров,миллион полулитров,тысяча литров^1000 литров,тысяча каратов метрических,миллион каратов метрических,тысяча тонн,миллион тонн,тонна условного топлива,тысяча тонн условного топлива,миллион тонн условного топлива,тысяча тонн единовременного хранения,тысяча тонн переработки,условная тонна,тысяча центнеров,вольт-ампер,метр в час,килокалория,гигакалория,тысяча гигакалорий,миллион гигакалорий,калория в час,килокалория в час,гигакалория в час,тысяча гигакалорий в час,миллион ампер-часов,миллион киловольт-ампер,киловольт-ампер реактивный,миллиард киловатт-часов,тысяча киловольт-ампер реактивных,лошадиная сила,тысяча лошадиных сил,миллион лошадиных сил,бит,байт,килобайт,мегабайт,бод,генри,тесла,килограмм на квадратный сантиметр,миллиметр водяного столба,миллиметр ртутного столба,сантиметр водяного столба,фемтосекунда,пикосекунда,наносекунда,микросекунда,миллисекунда,рубль,тысяча рублей,миллион рублей,миллиард рублей,триллион рублей,квадрильон рублей,пассажиро-километр,пассажирское место (пассажирских мест),тысяча пассажиро-километров,миллион пассажиро-километров,пар грузовых поездов в сутки,пассажиропоток,тонно-километр,тысяча тонно-километров,миллион тонно-километров,тысяча наборов,тысяча метров кубических в час,километр в сутки,грамм на киловатт-час,килограмм на гигакалорию,тонно-номер,автотонна,тонна тяги,дедвейт-тонна,тонна-танид,человек на квадратный метр,человек на квадратный километр,тонна в час,тонна в сутки,тонна в смену,тысяча тонн в сезон,тысяча тонн в год,человеко-час,человеко-день,тысяча человеко-дней,тысяча человеко-часов,тысяча условных банок в смену,миллион единиц в год,посещение в смену,тысяча посещений в смену,пара в смену,тысяча пар в смену,миллион тонн в год,тонна переработки в сутки,тысяча тонн переработки в сутки,центнер переработки в сутки,тысяча центнеров переработки в сутки,тысяча голов в год,миллион голов в год,тысяча птицемест,тысяча кур-несушек,тысяча тонн пара в час,тысяча прядильных веретен,тысяча прядильных мест,доза,тысяча доз,единица,тысяча единиц,миллион единиц,канал,тысяча комплектов,место,тысяча мест,тысяча номеров,тысяча гектаров порций,пачка,тысяча пачек,процент,базисный пункт,тысяча рулонов,тысяча станов,станция,тысяча тюбиков,тысяча условных тубов,миллион упаковок,тысяча упаковок,человек,тысяча человек,миллион человек,миллион экземпляров,ячейка,ящик,голова,тысяча пар,миллион пар,комплект,секция,бутылка,тысяча бутылок,ампула,тысяча ампул,флакон,тысяча флаконов,тысяча тубов,тысяча коробок,условная единица,тысяча условных единиц,миллион условных единиц,условная штука,тысяча условных штук,условная банка,тысяча условных банок,миллион условных банок,условный кусок,тысяча условных кусков,миллион условных кусков,условный ящик,тысяча условных ящиков,условная катушка,тысяча условных катушек,условная плитка,тысяча условных плиток,условный кирпич,тысяча условных кирпичей,миллион условных кирпичей,семья,тысяча семей,миллион семей,домохозяйство,тысяча домохозяйств,миллион домохозяйств,ученическое место,тысяча ученических мест,рабочее место,тысяча рабочих мест,посадочное место,тысяча посадочных мест,номер,квартира,тысяча квартир,койка,тысяча коек,том книжного фонда,тысяча томов книжного фонда,условный ремонт,условный ремонт в год,смена,лист авторский,лист печатный,лист учетно-издательский,знак,слово,символ,условная труба,тысяча пластин,миллион доз,миллион листов-оттисков,вагоно (машино)-день,тысяча вагоно (машино)-часов,тысяча вагоно (машино)-километров,тысяча место-километров,вагоно-сутки,тысяча поездо-часов,тысяча поездо-километров,тысяча тонно-миль,тысяча пассажиро-миль,автомобиле-день,тысяча автомобиле-тонно-дней,тысяча автомобиле-часов,тысяча автомобиле-место-дней,приведенный час,самолето-километр,тысяча километров,тысяча тоннаже-рейсов,миллион тонно-миль,миллион пассажиро-миль,миллион тоннаже-миль,миллион пассажиро-место-миль,кормо-день,центнер кормовых единиц,тысяча автомобиле-километров,тысяча тоннаже-суток,суго-сутки,штук в 20-футовом эквиваленте (дфэ),канало-километр,канало-концы,тысяча экземпляров,тысяча долларов,тысяча тонн кормовых единиц,миллион тонн кормовых единиц,судо-сутки,центнеров с гектара,тысяча голов,тысяча краско-оттисков,миллион краско-оттисков,миллион условных плиток,человек в час,пассажиров в час,пассажиро-миля,бит в секунду,грей в секунду,грей в минуту,грей в час,микрогрей в секунду,микрогрей в час,миллигрей в час,зиверт в час,микрозиверт в секунду,микрозиверт в час,миллизиверт в час,градус (плоского угла),минута (плоского угла),секунда (плоского угла),килобит в секунду,мегабит в секунду,гигабит в секунду,байт в секунду,гигабайт в секунду,гигабайт,терабайт,петабайт,эксабайт,зеттабайт,йоттабайт,килобайт в секунду,мегабайт в секунду,эрланг,децибел,рубль тонна,дето-день,человек в год,посещение,тысяча гнезд,единиц в год,вызов,посевная единица,штамм,абонент,особь,коробка,миллион гектаров,миллиард гектаров,койко-день,пациенто-день,запись,документ,лист-оттиск,вагоно (машино)-час,миллион голов,летный час,балл,миллион долларов,миллиард долларов,доллар за тонну,дозировка лекарственных препаратов,протеолитическая единица,микрограмм на миллилитр,микрограмм в сутки,микрограмм в час,микрограмм на дозу,миллимоль на миллилитр,миллимоль на литр,грей,микрогрей,миллигрей,килогрей,гигагерц,терагерц	2	56					False
ruokeicode	okei		Russian OKEI code by known name and value	data	text	003,004,005,006,008,009,039,041,043,047,050,051,053,055,058,059,061,071,073,075,109,110,111,112,113,118,122,126,131,132,133,159,160,161,162,163,164,166,168,170,173,181,185,206,212,214,215,222,223,227,228,230,243,245,246,247,260,263,264,270,271,273,274,280,281,282,283,284,288,289,290,291,292,294,296,297,298,300,301,302,303,304,305,306,307,308,309,310,312,314,316,318,319,320,321,323,324,327,328,330,331,333,335,349,354,355,356,359,360,361,362,364,365,366,368,499,533,596,598,599,616,625,626,630,641,657,683,704,715,730,732,733,734,735,736,737,740,745,778,780,781,796,797,798,799,800,801,802,820,821,831,833,841,845,847,852,859,861,863,865,867,018,019,020,048,049,054,056,057,060,062,063,064,081,082,083,084,085,086,087,088,089,114,115,116,119,120,121,123,124,125,127,128,129,130,165,167,169,171,172,175,176,177,178,179,207,226,231,232,233,234,235,236,237,238,239,241,242,248,249,250,251,252,253,254,255,256,257,258,287,313,317,337,338,339,348,350,351,352,353,383,384,385,386,387,388,414,421,423,424,426,427,449,450,451,479,508,509,510,511,512,513,514,515,516,521,522,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,550,552,553,554,555,556,557,558,559,561,562,563,639,640,642,643,644,661,673,698,699,709,724,728,729,744,746,747,751,761,762,775,776,779,782,792,793,794,808,810,812,836,837,838,839,840,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,920,921,922,923,924,925,930,937,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,2541,2311,2312,2313,2314,2315,2316,2351,2352,2353,2354,2355,2356,2357,2543,2545,2547,2551,2552,2553,2554,2555,2556,2557,2558,2561,2571,2581,3135,3831,5401,5423,5451,5562,6421,6422,6423,6424,7923,8361,8751,9061,9062,9111,9113,9245,9246,9491,9501,9557,9641,9642,9802,9803,9805,9910,9911,9912,9913,9914,9915,9916,9917,9918,9920,9921,9922,9923,9924,9925,9926,9927,9930,9931,9940,9941,9950,9951,9960,9961,9962,9970,9971,9980,9981,9982,9983,9985,9986,9987,9988,9990,9991,276,277,278,279,293,295	3	4			okei_code,okeicode,океи,code_okei	text	False
ruokvknown	okvalpha		Russian OKV (currency code) alpha code by known name (only common currencies)	data	text	rub,usb,eur,gbp,chf,cny	3	3					False
ruokvknownname	okvname		Russian OKV (currency code) alpha code by name	data	text	российский рубль,евро,доллар сша,фунт стерлингов,юань	4	16					False
ruokpdcode	okpd		Russian OKPD code by known name and value	data	ppr	(Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2)) ^ (Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, min=1, max=2)) ^ (Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, exact=3))	4	12			Optional(Word(printables)) + Literal('okpd', caseless=True) + Optional(Word(printables))		False
