id	key	piikey	name	type	match	rule	minlen	maxlen	priority	validator	fieldrule	fieldrulematch	imprecise
ruookvedcodepat	okved		Russian OKVED code by known name and value	data	ppr	(Word(nums, min=1, max=3) + Literal('.') + Word(nums, min=1, max=3)) ^ (Word(nums, min=1, max=3) + 2*(Literal('.')+Word(nums, min=1, max=3))) ^ (Word(nums, min=1, max=3) + 3*(Literal('.')+Word(nums, min=1, max=3)))	3	8			Optional(Word(printables)) + Literal('okved') + Optional(Word(printables))	ppr	False
ruokpdcodeimprecise	okpd		Russian OKPD code by known name and value	data	ppr	(Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2)) ^ (Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, min=1, max=2)) ^ (Word(nums, exact=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, min=1, max=2) + Literal('.') + Word(nums, exact=3))	4	12					True
ruookvedcodepatimprecise	okved		Russian OKVED code by known name and value	data	ppr	(Word(nums, min=1, max=3) + Literal('.') + Word(nums, min=1, max=3)) ^ (Word(nums, min=1, max=3) + 2*(Literal('.')+Word(nums, min=1, max=3))) ^ (Word(nums, min=1, max=3) + 3*(Literal('.')+Word(nums, min=1, max=3)))	3	8					True
rusyesnobool	boolean		Russian yes no boolean	data	text	да,нет	2	3					False
rusdayofweek	rusdayofweek		Russian day of week	data	text	понедельник,вторник,среда,четверг,пятница,суббота,воскресенье	5	11					False
rustimerangebypat	rustimerange		Time range by pattern (с 10:00 по 15:00) used in Russian datasets	data	ppr	Literal("с") + Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1) + Literal("по") + Word("012", exact=1) + Word(nums, exact=1) + Literal(":") + Word("012345", exact=1) + Word(nums, exact=1)	3	100					False
bikcodepat	bik		Russian banking identification code	data	ppr	Word(nums, exact=6)	3	100			bik,bankbic	text	False
bankaccount	bankaccount		Russian bank account	data	ppr	Word(nums, exact=20)	20	20		metacrafterext.rules.ru.finances.is_bank_account	currentaccount,personalaccount,correspondentaccount	text	False
bankaccountpat	bankaccount		Russian bank account	data	ppr	Word(nums, exact=20)	20	20		metacrafterext.rules.ru.finances.is_bank_account			False
russianbikcode	bik		Russian Bank identification code (BIK)	data	text	000396186,000510022,000816041,000825040,004525987,004525988,007162163,007182108,007749104,010173001,010349101,010407105,010507002,010702101,010813050,011012100,011117401,011203901,011403102,011501101,011708377,011806101,011909101,012007084,012202102,012406500,012520101,012618001,012748051,012809106,012908002,013002402,013207212,013304182,013469126,013510002,013601205,013735150,013807906,014030106,014106101,014206212,014442501,014705901,014959900,015004950,015209001,015354008,015402901,015655003,015773997,015805002,016015102,016081973,016126031,016311121,016401800,016577551,016614901,016711001,016850200,016902004,017003983,017102101,017308101,017501500,017601329,017719101,017888102,017908101,018073401,018142016,018209001,018327106,018405033,018580010,018602104,018702501,018860003,018952501,019033100,019133001,019205400,019304100,019401100,019514901,019690001,019706900,019805001,019923923,024501901,040001002,040002002,040004002,040012002,040021002,040031002,040037002,040037471,040041002,040047002,040147000,040173001,040173604,040173733,040173745,040173749,040173754,040173771,040181002,040349001,040349521,040349536,040349542,040349548,040349550,040349556,040349569,040349602,040349700,040349715,040349718,040349722,040349744,040349745,040349758,040349772,040349781,040349788,040349789,040349808,040349815,040349830,040349838,040349909,040349966,040394002,040394101,040395000,040395950,040396000,040396055,040397002,040397100,040407001,040407388,040407427,040407523,040407555,040407592,040407627,040407686,040407699,040407702,040407777,040407795,040407853,040407862,040407877,040407915,040407923,040486002,040486100,040495000,040507001,040507595,040507705,040507707,040507717,040507750,040507795,040507803,040507840,040507861,040507867,040507871,040507879,040507883,040507886,040507888,040507900,040508000,040510000,040582002,040582101,040583002,040583102,040587002,040702001,040702615,040702701,040702703,040702724,040702734,040702748,040702750,040702752,040702754,040702760,040702763,040702773,040702788,040702793,040703002,040703101,040708000,040708744,040715000,040715725,040813001,040813608,040813700,040813704,040813713,040813727,040813733,040813744,040813757,040813770,040813813,040813838,040813864,040813886,040816000,040825000,040881002,040881100,040884002,040885002,040886002,040886101,041012001,041012050,041012718,041012731,041012764,041012765,041013000,041081002,041081100,041106000,041117001,041117309,041117601,041117772,041122002,041122101,041125000,041126002,041203001,041203602,041203711,041203712,041203715,041203726,041236002,041236100,041280002,041280103,041403001,041403633,041403701,041403740,041403747,041403838,041480002,041501001,041501601,041501747,041580002,041708001,041708602,041708706,041708708,041708772,041806001,041806647,041806701,041806715,041806745,041806831,041806863,041806870,041806898,041856000,041909001,041909644,041909707,041909717,041909760,041909769,041909772,041909786,041946000,041946748,041980002,042007001,042007677,042007681,042007707,042007709,042007778,042007800,042007811,042007835,042007855,042080002,042202001,042202603,042202705,042202708,042202714,042202717,042202718,042202720,042202727,042202731,042202733,042202735,042202745,042202747,042202764,042202773,042202799,042202803,042202806,042202807,042202812,042202821,042202824,042202837,042202841,042202846,042202847,042202863,042202873,042202876,042202886,042202891,042282000,042282751,042282881,042299002,042299100,042406001,042406608,042406701,042406705,042406707,042406718,042406738,042406780,042406807,042520001,042520607,042520700,042520728,042520764,042520767,042520777,042520780,042520811,042520840,042520842,042520849,042520872,042534002,042581002,042618001,042618783,042748001,042748634,042748701,042748801,042748866,042748877,042748878,042780002,042780104,042784002,042784101,042785002,042785100,042809001,042809679,042809795,042809903,042809921,042809953,042809992,042880002,042880101,042908001,042908612,042908701,042908748,042908762,042908770,042908780,042980002,043002001,043002717,043002801,043015000,043081002,043081100,043083002,043083101,043207001,043207612,043207707,043207720,043207748,043207757,043207776,043207780,043207782,043207793,043209000,043209705,043209706,043209740,043209770,043304001,043304609,043304705,043304711,043304728,043304757,043304787,043380002,043380100,043469001,043469623,043469710,043469714,043469720,043469731,043469743,043469751,043510001,043510101,043510107,043510111,043510123,043510607,043512002,043512100,043601001,043601592,043601607,043601701,043601706,043601707,043601709,043601742,043601777,043601806,043601811,043601842,043601845,043601863,043601869,043601876,043601878,043601889,043601917,043601919,043601933,043601968,043601978,043678000,043678838,043678859,043678929,043678944,043683002,043735001,043735650,043735821,043735830,043735853,043807001,043807330,043807606,043807798,044012000,044030001,044030303,044030505,044030653,044030702,044030704,044030705,044030706,044030707,044030710,044030716,044030723,044030724,044030729,044030733,044030741,044030742,044030747,044030751,044030752,044030754,044030755,044030757,044030758,044030760,044030761,044030764,044030765,044030770,044030772,044030778,044030783,044030785,044030786,044030787,044030790,044030795,044030812,044030814,044030819,044030820,044030824,044030826,044030827,044030831,044030839,044030845,044030852,044030858,044030861,044030866,044030869,044030870,044030874,044030877,044030878,044030879,044030882,044030885,044030889,044030892,044030902,044030904,044030907,044030910,044030920,044030924,044030925,044080002,044080104,044083000,044106001,044106050,044106725,044106741,044106770,044106817,044106871,044106888,044125002,044206001,044206604,044206708,044206756,044442001,044442607,044501002,044501077,044501078,044525000,044525051,044525052,044525053,044525054,044525057,044525058,044525059,044525060,044525062,044525063,044525067,044525070,044525071,044525072,044525073,044525074,044525075,044525077,044525079,044525082,044525083,044525084,044525086,044525089,044525090,044525092,044525093,044525094,044525095,044525096,044525097,044525099,044525101,044525102,044525105,044525106,044525107,044525108,044525109,044525111,044525112,044525116,044525120,044525122,044525123,044525124,044525125,044525126,044525127,044525128,044525129,044525130,044525131,044525132,044525133,044525134,044525135,044525137,044525138,044525139,044525140,044525142,044525144,044525146,044525147,044525148,044525151,044525154,044525157,044525158,044525159,044525160,044525161,044525162,044525163,044525165,044525166,044525169,044525170,044525173,044525174,044525176,044525178,044525179,044525180,044525181,044525182,044525183,044525184,044525185,044525186,044525187,044525188,044525192,044525193,044525194,044525196,044525200,044525201,044525202,044525203,044525204,044525208,044525211,044525213,044525214,044525215,044525218,044525220,044525222,044525225,044525227,044525228,044525229,044525232,044525233,044525234,044525236,044525237,044525238,044525241,044525242,044525244,044525245,044525246,044525247,044525250,044525253,044525254,044525256,044525257,044525259,044525261,044525262,044525265,044525266,044525267,044525268,044525270,044525271,044525272,044525273,044525274,044525275,044525278,044525279,044525280,044525281,044525284,044525285,044525286,044525287,044525288,044525289,044525292,044525293,044525297,044525298,044525299,044525300,044525302,044525303,044525304,044525306,044525307,044525308,044525310,044525311,044525313,044525315,044525318,044525319,044525320,044525322,044525324,044525325,044525326,044525327,044525328,044525329,044525333,044525335,044525337,044525339,044525340,044525341,044525342,044525346,044525348,044525349,044525350,044525351,044525353,044525354,044525355,044525356,044525359,044525360,044525361,044525362,044525366,044525368,044525371,044525373,044525374,044525375,044525376,044525378,044525379,044525381,044525387,044525388,044525391,044525395,044525397,044525398,044525401,044525402,044525408,044525409,044525411,044525412,044525413,044525416,044525421,044525423,044525424,044525429,044525430,044525431,044525433,044525434,044525435,044525436,044525440,044525444,044525445,044525447,044525450,044525451,044525453,044525454,044525455,044525457,044525460,044525461,044525464,044525465,044525466,044525470,044525471,044525473,044525476,044525477,044525484,044525485,044525488,044525490,044525491,044525494,044525497,044525498,044525500,044525501,044525502,044525503,044525505,044525512,044525514,044525517,044525518,044525520,044525521,044525526,044525534,044525535,044525536,044525538,044525541,044525544,044525545,044525547,044525549,044525550,044525551,044525553,044525555,044525556,044525561,044525563,044525567,044525568,044525569,044525571,044525576,044525583,044525584,044525586,044525587,044525588,044525591,044525592,044525593,044525597,044525599,044525600,044525603,044525604,044525606,044525608,044525610,044525619,044525621,044525624,044525626,044525630,044525631,044525632,044525635,044525636,044525645,044525646,044525651,044525652,044525653,044525656,044525659,044525660,044525664,044525666,044525672,044525673,044525674,044525675,044525676,044525677,044525678,044525679,044525682,044525683,044525684,044525685,044525686,044525688,044525690,044525691,044525692,044525694,044525695,044525696,044525697,044525699,044525700,044525701,044525703,044525706,044525709,044525710,044525711,044525713,044525717,044525718,044525719,044525720,044525726,044525728,044525729,044525731,044525732,044525733,044525736,044525737,044525738,044525739,044525744,044525745,044525746,044525747,044525748,044525749,044525754,044525755,044525756,044525757,044525760,044525762,044525766,044525767,044525769,044525770,044525771,044525773,044525774,044525775,044525776,044525777,044525779,044525782,044525783,044525784,044525787,044525789,044525792,044525793,044525795,044525797,044525799,044525800,044525801,044525805,044525808,044525811,044525814,044525815,044525823,044525829,044525831,044525832,044525843,044525844,044525852,044525857,044525858,044525860,044525861,044525880,044525881,044525882,044525887,044525893,044525895,044525898,044525899,044525900,044525901,044525902,044525907,044525910,044525911,044525917,044525919,044525921,044525922,044525926,044525928,044525930,044525931,044525932,044525933,044525934,044525935,044525936,044525941,044525946,044525951,044525957,044525967,044525971,044525974,044525976,044525984,044525985,044525986,044525990,044525993,044525994,044525999,044536002,044537002,044566002,044582002,044584002,044584100,044587002,044588002,044588100,044588101,044593002,044594002,044600002,044674002,044674100,044680002,044681002,044681102,044697002,044697100,044703000,044705001,044705301,044705615,044705768,044715002,044715100,044780002,044780100,044781002,044781102,044782002,044782100,044783002,044784002,044784101,044785002,044785102,044906000,044959001,044959698,044959722,044959746,044959775,045004001,045004051,045004162,045004641,045004701,045004711,045004719,045004725,045004750,045004760,045004763,045004774,045004778,045004783,045004784,045004785,045004794,045004799,045004814,045004815,045004816,045004818,045004832,045004833,045004837,045004850,045004861,045004864,045004867,045004883,045004888,045080002,045080101,045081002,045081100,045209001,045209673,045209701,045209702,045209703,045209713,045209777,045209822,045209884,045209885,045306000,045306818,045339000,045339827,045354001,045354601,045354814,045354816,045354817,045354860,045354880,045354885,045385002,045385100,045386002,045386101,045402001,045402601,045402704,045402719,045402725,045402751,045655001,045655635,045655707,045655718,045773001,045773705,045773707,045773712,045773713,045773756,045773764,045773790,045773804,045773808,045773843,045773873,045773897,045795000,045801002,045801101,045805001,045805602,045805722,045805755,045805772,045853000,045853729,045853774,046014000,046014327,046014336,046014718,046015001,046015050,046015051,046015052,046015061,046015064,046015066,046015068,046015075,046015078,046015080,046015081,046015088,046015207,046015211,046015234,046015239,046015300,046015602,046015728,046015761,046015762,046015804,046015846,046015860,046015872,046015913,046015938,046015946,046015961,046015999,046080002,046080101,046126001,046126614,046126701,046126708,046126744,046126790,046126793,046311001,046311722,046311751,046311755,046311772,046311843,046311887,046311890,046311902,046380002,046382002,046401001,046401444,046401727,046401728,046401747,046401772,046401989,046404000,046482002,046489002,046510000,046510805,046521000,046576002,046577001,046577402,046577403,046577406,046577409,046577411,046577418,046577420,046577422,046577446,046577501,046577507,046577517,046577674,046577743,046577756,046577768,046577774,046577781,046577795,046577851,046577881,046577896,046577903,046577904,046577906,046577909,046577922,046577952,046577964,046577971,046577972,046577975,046577978,046577993,046579002,046579100,046580002,046614001,046614632,046614718,046614748,046614754,046614776,046709002,046709101,046709102,046711001,046711103,046711106,046850001,046850649,046850713,046850755,046902001,046902606,046902711,046902728,046902758,047003001,047003608,047003715,047003716,047003729,047003764,047003779,047003792,047102001,047102613,047102622,047102651,047102658,047102693,047102802,047102803,047102804,047102827,047102861,047102870,047102885,047117000,047144000,047144709,047144721,047144778,047162000,047162812,047169000,047169702,047169742,047169777,047173000,047173611,047182000,047186000,047186825,047308001,047308602,047308811,047308813,047308815,047308818,047308897,047501001,047501602,047501616,047501711,047501742,047501751,047501779,047501787,047501799,047501821,047501830,047501843,047501906,047501982,047501988,047516000,047516949,047520000,047582002,047582100,047583002,047601001,047601205,047601637,047601740,047681002,047681100,047686002,047719001,047728000,047749000,047888001,047888372,047888710,047888717,047888728,047888740,047888760,047908001,047908700,047908704,047908745,047980002,047980101,048047000,048073001,048073601,048073765,048073770,048073809,048073842,048073846,048073855,048073875,048073902,048073928,048073934,048073948,048073949,048080002,048080100,048082000,048086000,048140002,048140100,048142001,048142604,048142727,048142736,048142744,048182002,048182100,048209001,048209395,048209719,048209742,048209744,048209748,048209755,048209775,048209793,048209848,048209880,048209918,048209943,048209964,048270002,048270101,048327001,048327710,048327736,048327741,048327749,048327765,048327780,048337000,048405001,048405602,048405718,048580001,048580724,048602001,048602673,048602746,048606000,048702001,048702640,048702739,048702781,048708000,048717000,048717785,048718000,048718777,048860001,048860630,048860721,048860734,048860889,048880002,048880100,048952001,048952615,048952630,048952749,048952750,048952752,049033001,049033199,049033745,049033746,049033758,049033764,049033780,049082002,049082100,049133001,049133812,049133845,049205001,049205131,049205201,049205525,049205555,049205603,049205702,049205703,049205706,049205708,049205734,049205770,049205772,049205774,049205795,049205804,049205805,049205815,049205844,049205858,049205878,049205885,049205910,049205919,049205931,049205933,049209000,049209767,049209778,049246000,049304001,049304735,049304738,049401001,049401601,049401710,049401758,049401814,049401825,049401863,049401869,049401871,049514001,049514608,049514720,049514745,049626002,049626100,049627002,049628002,049631002,049690001,049690719,049706001,049706609,049706717,049706723,049706725,049706749,049706752,049805001,049805609,049805709,049805770,049805771,049805992,049820000,049849000,049923001,200000147,200000153,200000154,200000157,200000165,200000223,200000225,200000227,200000232,200000234,200000239,200000240,200000241,200000242,200000249,200000252,200000257,200000258,200000259,200000260,200000262,200000265,200000268,200000271,200000273,200000276,200000279,200000280,200000282,200000283,200000285,200000288,200000291,200000292,200000298,200000313,200000314,200000315,200000320,200000323,200000324,200000326,200000330,200000332,200000333,200000334,200000335,200000337,200000338,200000339,200000340,200000342,200000343,200000345,200000346,200000347,200000350,200000354,200000357,200000358,200000359,200000365,200000371,200000381,200000384,200000385,200000386,200000390,200000398,200000400,200000405,200000406,200000407,200000408,200000409,200000411,200000412,200000417,200000419,200000423,200000424,200000425,200000436,200000437,200000440,200000441,200000447,200000448,200000450,200000459,200000460,200000470,200000477,200000481,200000483,200000484,200000486,200000487,200000488,200000489,200000495,200000497,200000507,200000509,200000517,200000520,200000532,200000538,200000542,200000545,200000546,200000547,200000548,200000549,200000550,200000551,200000552,200000555,200000556,200000557,200000558,200000559,200000560,200000561,200000562,200000563,200000566,200000571,200000574,200000575,200000576,200000579,200000580,200000584,200000585,200000586,200000587,200000590,200000591,200000593,200000594,200000595,200000596,200000597,200000601,200000603,200000606,200000609,200000610,200000611,200000612,200001031,200001157,201000873,203000221,204000206,205000024,205002861,207000150,208000079,210000050,211000123,211000237,212000008,214000061,215000042,217000027,218000225,219000037,220000008,222000300,224000020,225000021,226000017,227000057,228000025,229000080,229000102,230000770,232000049,233000221,234000187,235000565,236000127,237000125,238000020,240000189,241000086,242000073,244000054,245001173,245001228,245001229,245001291,245001292,245001293,245001294,245001296,245001961,245009721,245010410,245010945,245011006,245011052,245011058,245011066,245011072,245011073,245011074,247000033,249000136,250000313,252000078,253000417,254000012,256001199,257000961,258000013,260000867,261000110,261000577,263000258,264000026,265000060,265000194,265000477,266000058,267000017,268000429,269000094,270000017,271000013,271001005,271001666,273000290,275000099,276004297,277000440,278000117,278000688,278000689,278000760,278000785,279000070,280000624,280001523,280001572,281000080,282000048,283000024,284000103,285000012,286000017,287000077,288000267,289000040,290000103,291000018,292000450,293000016,294000122,295000301,295000958,296000010,297000102,298000132,299000020	9	9			bik,bic,@bic,bankbic,bankbik,refbook_bic	text	False
